time,u100_m_s,v100_m_s,wind_speed_m_s,wind_speed_kmh,wind_direction_deg,power_density_W_m2,place_name,requested_latitude,requested_longitude,selected_latitude,selected_longitude
2025-05-05 00:00:00,-0.53108215,1.611206,1.6964767,6.107316,161.75684,2.9905415,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 01:00:00,0.10305786,1.16716,1.1717011,4.218124,185.04602,0.985273,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 02:00:00,0.4595337,0.99005127,1.0915003,3.929401,204.89845,0.7964851,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 03:00:00,0.89668274,0.9533386,1.3087759,4.711593,223.24591,1.3730993,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 04:00:00,1.2414093,0.6407623,1.3970231,5.029283,242.69916,1.6700015,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 05:00:00,1.6367188,0.55752563,1.7290701,6.2246523,251.1893,3.1662405,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 06:00:00,2.4293976,0.82606506,2.566,9.237599,251.22049,10.348467,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 07:00:00,3.4562378,1.057663,3.6144474,13.012011,252.98508,28.922232,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 08:00:00,4.5730896,1.1284485,4.7102594,16.956934,256.1387,64.008934,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 09:00:00,5.4694366,1.1902466,5.597448,20.150812,257.72284,107.41781,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 10:00:00,6.1151123,1.2684631,6.245286,22.483028,258.28128,149.19803,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 11:00:00,6.3000183,1.535553,6.4844546,23.344036,256.30194,167.00385,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 12:00:00,5.906967,1.8025208,6.1758676,22.233122,253.03035,144.27797,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 13:00:00,5.6850586,1.6590729,5.922197,21.319908,253.73116,127.21977,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 14:00:00,5.4274445,1.2524261,5.570074,20.052267,257.00598,105.84955,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 15:00:00,4.9167633,0.9326477,5.004437,18.015972,259.25934,76.7665,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 16:00:00,3.9875946,0.7058716,4.049588,14.578517,259.96167,40.676044,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 17:00:00,2.78685,1.0662842,2.9838724,10.7419405,249.06253,16.272223,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 18:00:00,2.018036,1.9598236,2.8130727,10.127062,225.83841,13.634807,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 19:00:00,1.9282684,2.8003082,3.399992,12.239971,214.55098,24.07353,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 20:00:00,2.5884857,2.4698029,3.5777345,12.879844,226.34409,28.04984,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 21:00:00,3.0986786,1.7301483,3.5489748,12.776309,240.82318,27.378826,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 22:00:00,2.4996033,0.44317627,2.5385866,9.138911,259.946,10.020331,Mumbai Coast,19.076,72.877,19.0,73.0
2025-05-05 23:00:00,1.908432,-0.04244995,1.9089041,6.8720546,271.27423,4.260479,Mumbai Coast,19.076,72.877,19.0,73.0
