month,mean_wind_speed,std_wind_speed,min_wind_speed,max_wind_speed,p10,p50,p90,mean_power_density,total_hours,top10_mean_wind_speed_m_s,top10_mean_power_density_W_m2,top10_number_of_hours,selected_latitude,selected_longitude
1,3.4805307,1.5830209,0.18087275,8.052188,1.4506449699401855,3.336334705352783,5.655797481536865,42.70894,744,,,,,
2,3.2811925,1.5618353,0.13855033,7.9241047,1.4960216283798218,2.9828972816467285,5.659402847290039,37.65851,672,,,,,
3,3.9022303,2.0207152,0.022466727,10.114295,1.367497205734253,3.6568057537078857,6.6163554191589355,67.596954,744,,,,,
4,3.339127,1.7995414,0.17266789,8.632619,1.17875075340271,3.072200298309326,5.898576259613037,43.886517,710,,,,,
5,3.7824047,1.8152828,0.21003099,8.522362,1.4430192708969116,3.679816961288452,6.365156650543213,57.003242,648,,,,,
6,6.5885825,2.8154933,0.6099217,12.763374,2.370852470397949,7.372671127319336,9.939932823181152,266.35138,720,,,,,
7,7.1943836,2.0901456,2.507698,11.575661,4.507940769195557,7.252459526062012,10.243573188781738,286.3084,744,,,,,
8,5.5093346,2.5327854,0.7059314,13.034157,2.56972599029541,4.903504848480225,9.214271545410156,173.92502,744,,,,,
9,4.1879764,2.291362,0.06286445,10.5540695,1.3552387952804565,3.9416537284851074,7.36668586730957,88.14503,720,,,,,
10,4.029086,1.8442528,0.155685,9.864245,1.9081165790557861,3.735546588897705,6.782263278961182,67.28984,744,,,,,
11,3.525411,1.5283304,0.32006693,7.219377,1.6009751558303833,3.510237216949463,5.628010272979736,42.309013,720,,,,,
12,3.849084,1.5186542,0.03979545,7.175075,1.7154133319854736,3.932741641998291,5.907473564147949,50.773407,744,,,,,
Annual,4.4060388,2.3590062,0.022466727,13.034157,1.6394810676574707,4.078795671463013,7.844188976287842,103.007195,8654,9.226078033447266,500.2938537597656,866.0,19.0,73.0
